team1,team2,date,possession team1,possession team2,number of goals team1,number of goals team2,category,penalties scored team2
QATAR,ECUADOR,20 NOV 2022,42.00%,50.00%,0,2,Group A,1
ENGLAND,IRAN,21 NOV 2022,72.00%,19.00%,6,2,Group B,1
SENEGAL,NETHERLANDS,21 NOV 2022,44.00%,45.00%,0,2,Group A,0
UNITED STATES,WALES,21 NOV 2022,51.00%,39.00%,1,1,Group B,1
ARGENTINA,SAUDI ARABIA,22 NOV 2022,64.00%,24.00%,1,2,Group C,0
DENMARK,TUNISIA,22 NOV 2022,55.00%,33.00%,0,0,Group D,0
MEXICO,POLAND,22 NOV 2022,54.00%,31.00%,0,0,Group C,0
FRANCE,AUSTRALIA,22 NOV 2022,56.00%,35.00%,4,1,Group D,0
MOROCCO,CROATIA,23 NOV 2022,32.00%,57.00%,0,0,Group F,0
GERMANY,JAPAN,23 NOV 2022,65.00%,22.00%,1,2,Group E,0
SPAIN,COSTA RICA,23 NOV 2022,74.00%,17.00%,7,0,Group E,0
BELGIUM,CANADA,23 NOV 2022,46.00%,43.00%,1,0,Group F,0
SWITZERLAND,CAMEROON,24 NOV 2022,43.00%,46.00%,1,0,Group G,0
URUGUAY,KOREA REPUBLIC,24 NOV 2022,49.00%,38.00%,0,0,Group H,0
PORTUGAL,GHANA,24 NOV 2022,55.00%,35.00%,3,2,Group H,0
BRAZIL,SERBIA,24 NOV 2022,53.00%,34.00%,2,0,Group G,0
WALES,IRAN,25 NOV 2022,51.00%,33.00%,0,2,Group B,0
QATAR,SENEGAL,25 NOV 2022,42.00%,48.00%,1,3,Group A,0
NETHERLANDS,ECUADOR,25 NOV 2022,48.00%,39.00%,1,1,Group A,0
ENGLAND,UNITED STATES,25 NOV 2022,51.00%,40.00%,0,0,Group B,0
TUNISIA,AUSTRALIA,26 NOV 2022,50.00%,31.00%,0,1,Group D,0
POLAND,SAUDI ARABIA,26 NOV 2022,30.00%,57.00%,2,0,Group C,0
FRANCE,DENMARK,26 NOV 2022,44.00%,44.00%,2,1,Group D,0
ARGENTINA,MEXICO,26 NOV 2022,50.00%,36.00%,2,0,Group C,0
JAPAN,COSTA RICA,27 NOV 2022,48.00%,39.00%,0,1,Group E,0
BELGIUM,MOROCCO,27 NOV 2022,56.00%,32.00%,0,2,Group F,0
CROATIA,CANADA,27 NOV 2022,41.00%,46.00%,4,1,Group F,0
SPAIN,GERMANY,27 NOV 2022,56.00%,33.00%,1,1,Group E,0
CAMEROON,SERBIA,28 NOV 2022,38.00%,49.00%,3,3,Group G,0
KOREA REPUBLIC,GHANA,28 NOV 2022,53.00%,32.00%,2,3,Group H,0
BRAZIL,SWITZERLAND,28 NOV 2022,51.00%,40.00%,1,0,Group G,0
PORTUGAL,URUGUAY,28 NOV 2022,53.00%,35.00%,2,0,Group H,0
NETHERLANDS,QATAR,29 NOV 2022,54.00%,38.00%,2,0,Group A,0
ECUADOR,SENEGAL,29 NOV 2022,51.00%,32.00%,1,2,Group A,1
WALES,ENGLAND,29 NOV 2022,33.00%,58.00%,0,3,Group B,0
